Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
88,MAGO_8Y,2008,fall,8/10/2008 5:06,8/10/2008 10:51,8/9/2008 21:06,8/10/2008 2:51,5.75,S3,NA,N,humboldt,drakes,59.34
89,MAGO_8Y,2008,fall,8/12/2008 22:11,8/12/2008 22:42,8/12/2008 14:11,8/12/2008 14:42,0.51,S4,15.60,Y,drakes,bolinas_ocean,5983.83
90,MAGO_8Y,2009,spring,4/19/2009 6:32,4/19/2009 13:17,4/18/2009 22:32,4/19/2009 5:17,6.76,N1,NA,N,bolinas_ocean,humboldt_trinidad,345.74
91,MAGO_8Y,2009,spring,5/3/2009 23:01,5/4/2009 10:56,5/3/2009 15:01,5/4/2009 2:56,11.92,N2,NA,N,humboldt_trinidad,grays,105.68
92,MAGO_8Y,2009,spring,5/8/2009 20:37,5/9/2009 20:24,5/8/2009 12:37,5/9/2009 11:24,23.79,N3,NA,N,grays,baranof,81.94
93,MAGO_8Y,2009,spring,5/13/2009 6:21,5/13/2009 23:11,5/12/2009 21:21,5/13/2009 14:11,16.84,N4,NA,N,baranof,controller,51.43
94,MAGO_8Y,2009,spring,5/16/2009 2:37,5/16/2009 14:53,5/15/2009 17:37,5/16/2009 5:53,12.27,N5,NA,N,controller,kodiak,38.74
95,MAGO_8Y,2009,spring,5/18/2009 5:38,5/18/2009 11:02,5/17/2009 20:38,5/18/2009 2:02,5.41,N6,29.19,Y,kodiak,ugashik,1606.60
96,MAGO_8Y,2009,fall,7/24/2009 9:38,7/26/2009 2:38,7/24/2009 0:38,7/25/2009 18:38,41.01,S1,NA,N,ugashik,ucluelet,34.07
97,MAGO_8Y,2009,fall,7/27/2009 12:42,7/27/2009 17:05,7/27/2009 4:42,7/27/2009 9:05,4.38,S2,NA,N,ucluelet,grays,53.67
98,MAGO_8Y,2009,fall,7/29/2009 22:45,7/29/2009 23:18,7/29/2009 14:45,7/29/2009 15:18,0.55,S3,NA,N,grays,willapa,57.75
99,MAGO_8Y,2009,fall,8/1/2009 9:04,8/1/2009 21:10,8/1/2009 1:04,8/1/2009 13:10,12.10,S4,NA,N,willapa,humboldt,48.65
100,MAGO_8Y,2009,fall,8/3/2009 21:49,8/4/2009 4:04,8/3/2009 13:49,8/3/2009 20:04,6.26,S5,10.77,Y,humboldt,bolinas_ocean,6191.04
101,MAGO_8Y,2010,spring,4/19/2010 3:07,4/19/2010 23:25,4/18/2010 19:07,4/19/2010 15:25,20.30,N1,NA,N,bolinas_ocean,grays,367.07
102,MAGO_8Y,2010,spring,5/5/2010 6:29,5/7/2010 5:45,5/4/2010 22:29,5/6/2010 20:45,47.26,N2,NA,N,grays,controller,92.11
103,MAGO_8Y,2010,spring,5/11/2010 1:52,5/11/2010 12:37,5/10/2010 16:52,5/11/2010 3:37,10.75,N3,22.40,Y,controller,ugashik,2486.99
104,MAGO_8Y,2010,fall,8/23/2010 3:36,8/24/2010 6:53,8/22/2010 18:36,8/23/2010 22:53,27.28,S1,NA,NA,ugashik,qcharlotteis,NA
